Name,School,Gender,Role,Total Citations,Earliest Pub,Cit rank,YO rank,AvCit,AvAge,PR value,age,citperyear
Robert Vaughan,Penn State,Male,Professor,2408,1970,0.886,0.927,0.491880952,0.507571429,0.969087156,51,47.21568627
Jinchao Xu,Penn State,Male,Professor,5263,1985,0.971,0.593,0.491880952,0.507571429,0.969087156,36,146.1944444
Ping Xu,Penn State,Male,Professor,1679,1988,0.82,0.5,0.491880952,0.507571429,0.969087156,33,50.87878788
Yuriy Zarkhin,Penn State,Male,Professor,868,1972,0.637,0.897,0.491880952,0.507571429,0.969087156,49,17.71428571
Yuxi Zheng,Penn State,Male,Professor,1984,1989,0.859,0.469,0.491880952,0.507571429,0.969087156,32,62
Ludmil Zikatanov,Penn State,Male,Professor,1136,1991,0.715,0.414,0.491880952,0.507571429,0.969087156,30,37.86666667
Alice Chang,Princeton,Female,Professor,2133,1974,0.868,0.869,0.777466667,0.518133333,1.500514668,47,45.38297872
Maria Chudnovsky,Princeton,Female,Professor,1432,2002,0.782,0.103,0.777466667,0.518133333,1.500514668,19,75.36842105
Sophie Morel,Princeton,Female,Professor,54,2008,0.056,0.012,0.777466667,0.518133333,1.500514668,13,4.153846154
Michael Aizenman,Princeton,Male,Professor,2748,1975,0.907,0.846,0.777466667,0.518133333,1.500514668,46,59.73913043
Noga Alon,Princeton,Male,Professor,11041,1981,0.994,0.714,0.777466667,0.518133333,1.500514668,40,276.025
Manjul Bhargava,Princeton,Male,Professor,798,1997,0.613,0.24,0.777466667,0.518133333,1.500514668,24,33.25
Peter Constantine,Princeton,Male,Professor,5866,1981,0.979,0.714,0.777466667,0.518133333,1.500514668,40,146.65
Mihalis Dafernos,Princeton,Male,Professor,819,1997,0.62,0.24,0.777466667,0.518133333,1.500514668,24,34.125
Weinan E,Princeton,Male,Professor,4269,1984,0.958,0.622,0.777466667,0.518133333,1.500514668,37,115.3783784
Charles Fefferman,Princeton,Male,Professor,6173,1967,0.982,0.958,0.777466667,0.518133333,1.500514668,54,114.3148148
David Gabai,Princeton,Male,Professor,1903,1980,0.85,0.739,0.777466667,0.518133333,1.500514668,41,46.41463415
Robert Gunning,Princeton,Male,Professor,1177,1955,0.727,1,0.777466667,0.518133333,1.500514668,66,17.83333333
Alexandru Ionescu,Princeton,Male,Professor,1208,1999,0.734,0.172,0.777466667,0.518133333,1.500514668,22,54.90909091
Nicholas Katz,Princeton,Male,Professor,3876,1966,0.948,0.966,0.777466667,0.518133333,1.500514668,55,70.47272727
Sergiu Klainerman,Princeton,Male,Professor,4112,1977,0.954,0.805,0.777466667,0.518133333,1.500514668,44,93.45454545
Janos Kollar,Princeton,Male,Professor,5951,1978,0.98,0.782,0.777466667,0.518133333,1.500514668,43,138.3953488
Fernando Coda Marques,Princeton,Male,Professor,616,2001,0.519,0.124,0.777466667,0.518133333,1.500514668,20,30.8
Assaf Naor,Princeton,Male,Professor,1843,2001,0.842,0.124,0.777466667,0.518133333,1.500514668,20,92.15
Peter Ozsvath,Princeton,Male,Professor,3771,1994,0.945,0.334,0.777466667,0.518133333,1.500514668,27,139.6666667
John Pardon,Princeton,Male,Professor,69,2009,0.069,0.009,0.777466667,0.518133333,1.500514668,12,5.75
Igor Rodnianski,Princeton,Male,Professor,1918,1995,0.852,0.304,0.777466667,0.518133333,1.500514668,26,73.76923077
Peter Sarnak,Princeton,Male,Professor,5504,1980,0.975,0.739,0.777466667,0.518133333,1.500514668,41,134.2439024
Paul Seymour,Princeton,Male,Professor,6386,1973,0.984,0.885,0.777466667,0.518133333,1.500514668,48,133.0416667
Yakov Sinai,Princeton,Male,Professor,5076,1959,0.966,0.994,0.777466667,0.518133333,1.500514668,62,81.87096774
Amit Singer,Princeton,Male,Professor,640,2006,0.535,0.027,0.777466667,0.518133333,1.500514668,15,42.66666667
Chris Skinner,Princeton,Male,Professor,700,1989,0.569,0.469,0.777466667,0.518133333,1.500514668,32,21.875
Allan Sly,Princeton,Male,Professor,678,2007,0.56,0.018,0.777466667,0.518133333,1.500514668,14,48.42857143
Zoltan Szabo,Princeton,Male,Professor,3724,1990,0.942,0.436,0.777466667,0.518133333,1.500514668,31,120.1290323
Paul Yang,Princeton,Male,Professor,2464,1973,0.89,0.885,0.777466667,0.518133333,1.500514668,48,51.33333333
Shou-Wu Zhang,Princeton,Male,Professor,1168,1991,0.724,0.414,0.777466667,0.518133333,1.500514668,30,38.93333333
Vyjayanthi Chari,Riverside,Female,Professor,2439,1984,0.888,0.622,0.406916667,0.51175,0.79514737,37,65.91891892
John Baez,Riverside,Male,Professor,2101,1983,0.866,0.652,0.406916667,0.51175,0.79514737,38,55.28947368
Wee Liang Gan,Riverside,Male,Professor,306,2002,0.303,0.103,0.406916667,0.51175,0.79514737,19,16.10526316
Jacob Greenstein,Riverside,Male,Professor,125,1998,0.118,0.209,0.406916667,0.51175,0.79514737,23,5.434782609
Yat Sun Poon,Riverside,Male,Professor,626,1986,0.524,0.564,0.406916667,0.51175,0.79514737,35,17.88571429
Ziv Ran,Riverside,Male,Professor,631,1978,0.527,0.782,0.406916667,0.51175,0.79514737,43,14.6744186
Reinhard Schultz,Riverside,Male,Professor,381,1968,0.363,0.949,0.406916667,0.51175,0.79514737,53,7.188679245
Stefano Vidussi,Riverside,Male,Professor,275,1997,0.273,0.24,0.406916667,0.51175,0.79514737,24,11.45833333
Fred Wilhelm,Riverside,Male,Professor,128,1992,0.121,0.387,0.406916667,0.51175,0.79514737,29,4.413793103
Bun Wong,Riverside,Male,Professor,325,1973,0.319,0.885,0.406916667,0.51175,0.79514737,48,6.770833333
Feng Xu,Riverside,Male,Professor,656,1994,0.547,0.334,0.406916667,0.51175,0.79514737,27,24.2962963
Qi Zhang,Riverside,Male,Professor,27,1991,0.034,0.414,0.406916667,0.51175,0.79514737,30,0.9
Fioralba Cakoni,Rutgers,Female,Professor,1853,1998,0.844,0.209,0.61927907,0.576627907,1.073966526,23,80.56521739
Lisa Carbone,Rutgers,Female,Professor,120,1996,0.115,0.278,0.61927907,0.576627907,1.073966526,25,4.8
Angela Gibney,Rutgers,Female,Professor,184,2000,0.173,0.147,0.61927907,0.576627907,1.073966526,21,8.761904762
Natasa Sesum,Rutgers,Female,Professor,656,2004,0.547,0.061,0.61927907,0.576627907,1.073966526,17,38.58823529
Doron Zeilberger,Rutgers,Male,Professor,2530,1971,0.895,0.913,0.61927907,0.576627907,1.073966526,50,50.6
Tadeusz Balaban,Rutgers,Male,Professor,248,1967,0.25,0.958,0.61927907,0.576627907,1.073966526,54,4.592592593
Robert M Beals,Rutgers,Male,Professor,309,1990,0.305,0.436,0.61927907,0.576627907,1.073966526,31,9.967741935
Joszef Beck,Rutgers,Male,Professor,1095,1974,0.708,0.869,0.61927907,0.576627907,1.073966526,47,23.29787234
Lev Borisov,Rutgers,Male,Professor,741,1993,0.59,0.363,0.61927907,0.576627907,1.073966526,28,26.46428571
Anders Buch,Rutgers,Male,Professor,666,1996,0.551,0.278,0.61927907,0.576627907,1.073966526,25,26.64
Eric Carlen,Rutgers,Male,Professor,2058,1984,0.862,0.622,0.61927907,0.576627907,1.073966526,37,55.62162162
Sagun Chanillo,Rutgers,Male,Professor,1158,1980,0.72,0.739,0.61927907,0.576627907,1.073966526,41,28.24390244
Paul Feehan,Rutgers,Male,Professor,235,1992,0.235,0.387,0.61927907,0.576627907,1.073966526,29,8.103448276
Christopher Woodward,Rutgers,Male,Professor,840,1996,0.627,0.278,0.61927907,0.576627907,1.073966526,25,33.6
Charles Weibel,Rutgers,Male,Professor,3077,1977,0.921,0.805,0.61927907,0.576627907,1.073966526,44,69.93181818
Michael Vogelius,Rutgers,Male,Professor,2668,1980,0.904,0.739,0.61927907,0.576627907,1.073966526,41,65.07317073
Pham Hoo Tiep,Rutgers,Male,Professor,1559,1986,0.802,0.564,0.61927907,0.576627907,1.073966526,35,44.54285714
Simon Thomas,Rutgers,Male,Professor,585,1983,0.5,0.652,0.61927907,0.576627907,1.073966526,38,15.39473684
Shadi Tahvildar-Zadeh,Rutgers,Male,Professor,643,1991,0.536,0.414,0.61927907,0.576627907,1.073966526,30,21.43333333
Hector Sussmann,Rutgers,Male,Professor,1825,1969,0.84,0.939,0.61927907,0.576627907,1.073966526,52,35.09615385
Jian Song,Rutgers,Male,Professor,796,2005,0.612,0.041,0.61927907,0.576627907,1.073966526,16,49.75
Avraham Soffer,Rutgers,Male,Professor,1512,1980,0.795,0.739,0.61927907,0.576627907,1.073966526,41,36.87804878
Vladimir Scheffer,Rutgers,Male,Professor,564,1972,0.484,0.897,0.61927907,0.576627907,1.073966526,49,11.51020408
Michael Saks,Rutgers,Male,Professor,1048,1979,0.692,0.76,0.61927907,0.576627907,1.073966526,42,24.95238095
Siddhartha Sahi,Rutgers,Male,Professor,778,1985,0.605,0.593,0.61927907,0.576627907,1.073966526,36,21.61111111
Xiaochun Rong,Rutgers,Male,Professor,350,1990,0.341,0.436,0.61927907,0.576627907,1.073966526,31,11.29032258
Fred Roberts,Rutgers,Male,Professor,1038,1968,0.687,0.949,0.61927907,0.576627907,1.073966526,53,19.58490566
Vladimir Retakh,Rutgers,Male,Professor,975,1969,0.668,0.939,0.61927907,0.576627907,1.073966526,52,18.75
Konstantin Mischaikow,Rutgers,Male,Professor,2169,1985,0.87,0.593,0.61927907,0.576627907,1.073966526,36,60.25
Stephen Miller,Rutgers,Male,Professor,432,1996,0.403,0.278,0.61927907,0.576627907,1.073966526,25,17.28
Feng Luo,Rutgers,Male,Professor,974,1988,0.668,0.5,0.61927907,0.576627907,1.073966526,33,29.51515152
Yan-Yan Li,Rutgers,Male,Professor,4770,1985,0.964,0.593,0.61927907,0.576627907,1.073966526,36,132.5
Joel Lebowitz,Rutgers,Male,Professor,3677,1955,0.941,1,0.61927907,0.576627907,1.073966526,66,55.71212121
Daniel Krashen,Rutgers,Male,Professor,160,2001,0.148,0.124,0.61927907,0.576627907,1.073966526,20,8
Sheldon Goldstein,Rutgers,Male,Professor,676,1973,0.558,0.885,0.61927907,0.576627907,1.073966526,48,14.08333333
Zheng-Chao Han,Rutgers,Male,Professor,534,1989,0.471,0.469,0.61927907,0.576627907,1.073966526,32,16.6875
Xiao-Jun Huang,Rutgers,Male,Professor,846,1987,0.629,0.53,0.61927907,0.576627907,1.073966526,34,24.88235294
Yi-Zhi Huang,Rutgers,Male,Professor,1716,1986,0.824,0.564,0.61927907,0.576627907,1.073966526,35,49.02857143
Henryk Iwaniec,Rutgers,Male,Professor,5219,1971,0.969,0.913,0.61927907,0.576627907,1.073966526,50,104.38
Jeff Kahn,Rutgers,Male,Professor,1088,1979,0.706,0.76,0.61927907,0.576627907,1.073966526,42,25.9047619
Janos Komlos,Rutgers,Male,Professor,2551,1964,0.896,0.978,0.61927907,0.576627907,1.073966526,57,44.75438596
Michael Kiessling,Rutgers,Male,Professor,569,1988,0.487,0.5,0.61927907,0.576627907,1.073966526,33,17.24242424
Alex Kontorovich,Rutgers,Male,Professor,287,2002,0.286,0.103,0.61927907,0.576627907,1.073966526,19,15.10526316
Ioana Dumitriu,San Diego,Female,Professor,446,2000,0.41,0.147,0.462425,0.346275,1.335427045,21,21.23809524
Elham Izadi,San Diego,Female,Professor,106,1991,0.103,0.414,0.462425,0.346275,1.335427045,30,3.533333333
Ruth Williams,San Diego,Female,Professor,1290,1980,0.753,0.739,0.462425,0.346275,1.335427045,41,31.46341463
Ronghui Lily Xu,San Diego,Female,Professor,29,1996,0.036,0.278,0.462425,0.346275,1.335427045,25,1.16
Ery Arias-Castro,San Diego,Male,Professor,397,2004,0.378,0.061,0.462425,0.346275,1.335427045,17,23.35294118
Randolph Bank,San Diego,Male,Professor,2231,1975,0.875,0.846,0.462425,0.346275,1.335427045,46,48.5
Ioan Bejenaru,San Diego,Male,Professor,491,2001,0.436,0.124,0.462425,0.346275,1.335427045,20,24.55
Sam Buss,San Diego,Male,Professor,1041,1985,0.689,0.593,0.462425,0.346275,1.335427045,36,28.91666667
Li-Tien Cheng,San Diego,Male,Professor,802,2000,0.615,0.147,0.462425,0.346275,1.335427045,21,38.19047619
Ben Chow,San Diego,Male,Professor,1776,1985,0.834,0.593,0.462425,0.346275,1.335427045,36,49.33333333
Bruce Driver,San Diego,Male,Professor,769,1986,0.599,0.564,0.462425,0.346275,1.335427045,35,21.97142857
Peter Ebenfelt,San Diego,Male,Professor,1087,1992,0.705,0.387,0.462425,0.346275,1.335427045,29,37.48275862
Patrick Fitzsimmons,San Diego,Male,Professor,829,1981,0.623,0.714,0.462425,0.346275,1.335427045,40,20.725
Phillip Gill,San Diego,Male,Professor,1622,1972,0.814,0.897,0.462425,0.346275,1.335427045,49,33.10204082
Alireza Golsefidy,San Diego,Male,Professor,133,2002,0.125,0.103,0.462425,0.346275,1.335427045,19,7
Benedict Gross,San Diego,Male,Professor,3036,1974,0.92,0.869,0.462425,0.346275,1.335427045,47,64.59574468
Guershon Harel,San Diego,Male,Professor,3,1999,0.007,0.172,0.462425,0.346275,1.335427045,22,0.136363636
Michael Holst,San Diego,Male,Professor,647,1993,0.54,0.363,0.462425,0.346275,1.335427045,28,23.10714286
Adrian Ioana,San Diego,Male,Professor,403,2007,0.382,0.018,0.462425,0.346275,1.335427045,14,28.78571429
Kiran Kedlaya,San Diego,Male,Professor,1260,1994,0.748,0.334,0.462425,0.346275,1.335427045,27,46.66666667
Todd Kemp,San Diego,Male,Professor,142,2005,0.132,0.041,0.462425,0.346275,1.335427045,16,8.875
Melvin Leok,San Diego,Male,Professor,280,2004,0.278,0.061,0.462425,0.346275,1.335427045,17,16.47058824
Bo Li,San Diego,Male,Professor,1,2005,0.001,0.041,0.462425,0.346275,1.335427045,16,0.0625
James McKernan,San Diego,Male,Professor,961,1991,0.661,0.414,0.462425,0.346275,1.335427045,30,32.03333333
David Meyer,San Diego,Male,Professor,208,1986,0.201,0.564,0.462425,0.346275,1.335427045,35,5.942857143
Lei Ni,San Diego,Male,Professor,1653,1998,0.818,0.209,0.462425,0.346275,1.335427045,23,71.86956522
Jiawang Nie,San Diego,Male,Professor,840,2000,0.627,0.147,0.462425,0.346275,1.335427045,21,40
Dragos Oprea,San Diego,Male,Professor,199,2005,0.19,0.041,0.462425,0.346275,1.335427045,16,12.4375
Alvaro Pelayo,San Diego,Male,Professor,334,2004,0.327,0.061,0.462425,0.346275,1.335427045,17,19.64705882
Dimitris Politis,San Diego,Male,Professor,955,1990,0.66,0.436,0.462425,0.346275,1.335427045,31,30.80645161
Cristian Popescu,San Diego,Male,Professor,163,1996,0.15,0.278,0.462425,0.346275,1.335427045,25,6.52
Jeffrey Rabin,San Diego,Male,Professor,89,1982,0.086,0.684,0.462425,0.346275,1.335427045,39,2.282051282
Daniel Rogalski,San Diego,Male,Professor,235,2002,0.235,0.103,0.462425,0.346275,1.335427045,19,12.36842105
Jason Schweinsberg,San Diego,Male,Professor,503,1998,0.447,0.209,0.462425,0.346275,1.335427045,23,21.86956522
Jacob Sterbenz,San Diego,Male,Professor,445,2003,0.409,0.082,0.462425,0.346275,1.335427045,18,24.72222222
Glenn Tesler,San Diego,Male,Professor,216,1993,0.211,0.363,0.462425,0.346275,1.335427045,28,7.714285714
Jacques Verstraete,San Diego,Male,Professor,420,2000,0.399,0.147,0.462425,0.346275,1.335427045,21,20
Hans Wenzl,San Diego,Male,Professor,1000,1985,0.675,0.593,0.462425,0.346275,1.335427045,36,27.77777778
Efim Zelmanov,San Diego,Male,Professor,1705,1977,0.821,0.805,0.462425,0.346275,1.335427045,44,38.75
Andrej Zlatos,San Diego,Male,Professor,718,1998,0.577,0.209,0.462425,0.346275,1.335427045,23,31.2173913
Guofang Wei,Santa Barbara,Female,Professor,693,1988,0.566,0.5,0.492666667,0.577375,0.853287147,33,21
Adebisi Agboola,Santa Barbara,Male,Professor,69,1991,0.069,0.414,0.492666667,0.577375,0.853287147,30,2.3
Charles Akemann,Santa Barbara,Male,Professor,914,1966,0.65,0.966,0.492666667,0.577375,0.853287147,55,16.61818182
Paul Atzberger,Santa Barbara,Male,Professor,133,2003,0.125,0.082,0.492666667,0.577375,0.853287147,18,7.388888889
Bjorn Birnir,Santa Barbara,Male,Professor,273,1981,0.27,0.714,0.492666667,0.577375,0.853287147,40,6.825
Hector Cenciceros,Santa Barbara,Male,Professor,339,1998,0.333,0.209,0.492666667,0.577375,0.853287147,23,14.73913043
Daryl Cooper,Santa Barbara,Male,Professor,1019,1987,0.683,0.53,0.492666667,0.577375,0.853287147,34,29.97058824
Xianzhe Dai,Santa Barbara,Male,Professor,463,1989,0.42,0.469,0.492666667,0.577375,0.853287147,32,14.46875
Michael Freedman,Santa Barbara,Male,Professor,1965,1973,0.857,0.885,0.492666667,0.577375,0.853287147,48,40.9375
Carlos GarcÃ­a-Cervera,Santa Barbara,Male,Professor,177,1999,0.163,0.172,0.492666667,0.577375,0.853287147,22,8.045454545
Ken Goodearl,Santa Barbara,Male,Professor,3943,1970,0.95,0.927,0.492666667,0.577375,0.853287147,51,77.31372549
Birge Huisgen-Zimmermann,Santa Barbara,Male,Professor,643,1975,0.536,0.846,0.492666667,0.577375,0.853287147,46,13.97826087
Bill Jacob,Santa Barbara,Male,Professor,337,1979,0.33,0.76,0.492666667,0.577375,0.853287147,42,8.023809524
Denis Labutin,Santa Barbara,Male,Professor,196,1996,0.185,0.278,0.492666667,0.577375,0.853287147,25,7.84
Darren Long,Santa Barbara,Male,Professor,1088,1984,0.706,0.622,0.492666667,0.577375,0.853287147,37,29.40540541
Jon McCammond,Santa Barbara,Male,Professor,397,1991,0.378,0.414,0.492666667,0.577375,0.853287147,30,13.23333333
David Morrison,Santa Barbara,Male,Professor,1487,1980,0.791,0.739,0.492666667,0.577375,0.853287147,41,36.26829268
Gustavo Ponce,Santa Barbara,Male,Professor,5918,1983,0.98,0.652,0.492666667,0.577375,0.853287147,38,155.7368421
Mihai Putinar,Santa Barbara,Male,Professor,2069,1979,0.863,0.76,0.492666667,0.577375,0.853287147,42,49.26190476
Thomas Sideris,Santa Barbara,Male,Professor,1301,1981,0.756,0.714,0.492666667,0.577375,0.853287147,40,32.525
Jeffrey Stopple,Santa Barbara,Male,Professor,44,1986,0.051,0.564,0.492666667,0.577375,0.853287147,35,1.257142857
Zhenghan Wang,Santa Barbara,Male,Professor,655,1993,0.545,0.363,0.492666667,0.577375,0.853287147,28,23.39285714
Rick Rugang Ye,Santa Barbara,Male,Professor,606,1982,0.511,0.684,0.492666667,0.577375,0.853287147,39,15.53846154
Yitang Zhang,Santa Barbara,Male,Professor,107,1985,0.106,0.593,0.492666667,0.577375,0.853287147,36,2.972222222
Debra Lewis,Santa Cruz,Female,Professor,317,1986,0.312,0.564,0.444166667,0.543416667,0.817359301,35,9.057142857
Robert Boltje,Santa Cruz,Male,Professor,226,1990,0.223,0.436,0.444166667,0.543416667,0.817359301,31,7.290322581
Frank BÃ¤uerle,Santa Cruz,Male,Professor,3,1994,0.007,0.334,0.444166667,0.543416667,0.817359301,27,0.111111111
Bruce Cooperstein,Santa Cruz,Male,Professor,564,1975,0.484,0.846,0.444166667,0.543416667,0.817359301,46,12.26086957
Chongying Dong,Santa Cruz,Male,Professor,3030,1986,0.92,0.564,0.444166667,0.543416667,0.817359301,35,86.57142857
Torsten Ehrhardt,Santa Cruz,Male,Professor,482,1994,0.433,0.334,0.444166667,0.543416667,0.817359301,27,17.85185185
Viktor Ginzburg,Santa Cruz,Male,Professor,3223,1979,0.927,0.76,0.444166667,0.543416667,0.817359301,42,76.73809524
Richard Montgomery,Santa Cruz,Male,Professor,1551,1984,0.8,0.622,0.444166667,0.543416667,0.817359301,37,41.91891892
Jie Qing,Santa Cruz,Male,Professor,717,1988,0.577,0.5,0.444166667,0.543416667,0.817359301,33,21.72727273
Hirotaka Tamanoi,Santa Cruz,Male,Professor,112,1987,0.108,0.53,0.444166667,0.543416667,0.817359301,34,3.294117647
Anthony J Tromba,Santa Cruz,Male,Professor,504,1968,0.45,0.949,0.444166667,0.543416667,0.817359301,53,9.509433962
Martin H Weissman,Santa Cruz,Male,Professor,93,2003,0.089,0.082,0.444166667,0.543416667,0.817359301,18,5.166666667
Eleny Ionel,Stanford,Female,Professor,307,1992,0.304,0.387,0.703590909,0.4385,1.604540272,29,10.5862069
E. Malinnikova,Stanford,Female,Professor,117,1995,0.112,0.304,0.703590909,0.4385,1.604540272,26,4.5
Daniel Bump,Stanford,Male,Professor,1564,1982,0.804,0.684,0.703590909,0.4385,1.604540272,39,40.1025641
E. Candes,Stanford,Male,Professor,7613,1998,0.988,0.209,0.703590909,0.4385,1.604540272,23,331
Sourav Chatterjee,Stanford,Male,Professor,1039,2003,0.688,0.082,0.703590909,0.4385,1.604540272,18,57.72222222
Brian Conrard,Stanford,Male,Professor,1269,1996,0.749,0.278,0.703590909,0.4385,1.604540272,25,50.76
Amir Dembo,Stanford,Male,Professor,3728,1986,0.942,0.564,0.703590909,0.4385,1.604540272,35,106.5142857
Persi Diaconis,Stanford,Male,Professor,5998,1974,0.981,0.869,0.703590909,0.4385,1.604540272,47,127.6170213
Eliashberg,Stanford,Male,Professor,2899,1970,0.916,0.927,0.703590909,0.4385,1.604540272,51,56.84313725
Jacob Fox,Stanford,Male,Professor,887,2003,0.643,0.082,0.703590909,0.4385,1.604540272,18,49.27777778
Steven Kerckhoff,Stanford,Male,Professor,932,1978,0.655,0.782,0.703590909,0.4385,1.604540272,43,21.6744186
Ciprian Manolescu,Stanford,Male,Professor,503,2003,0.447,0.082,0.703590909,0.4385,1.604540272,18,27.94444444
Rafe Mazzeo,Stanford,Male,Professor,2352,1986,0.883,0.564,0.703590909,0.4385,1.604540272,35,67.2
Papanicolaou,Stanford,Male,Professor,5852,1969,0.979,0.939,0.703590909,0.4385,1.604540272,52,112.5384615
L Ryzhik,Stanford,Male,Professor,1769,1993,0.833,0.363,0.703590909,0.4385,1.604540272,28,63.17857143
Soundararajan,Stanford,Male,Professor,1252,1991,0.747,0.414,0.703590909,0.4385,1.604540272,30,41.73333333
Richard Taylor,Stanford,Male,Professor,2907,1988,0.917,0.5,0.703590909,0.4385,1.604540272,33,88.09090909
Tadashi Tokieda,Stanford,Male,Professor,69,1996,0.069,0.278,0.703590909,0.4385,1.604540272,25,2.76
Ravi Vakil,Stanford,Male,Professor,831,1996,0.625,0.278,0.703590909,0.4385,1.604540272,25,33.24
Andars Vasy,Stanford,Male,Professor,1063,1997,0.698,0.24,0.703590909,0.4385,1.604540272,24,44.29166667
Brian White,Stanford,Male,Professor,1304,1979,0.758,0.76,0.703590909,0.4385,1.604540272,42,31.04761905
Lexing Ying,Stanford,Male,Professor,1232,2004,0.741,0.061,0.703590909,0.4385,1.604540272,17,72.47058824
Irina Mitrea,Temple,Female,Professor,320,1998,0.314,0.209,0.326875,0.55625,0.587640449,23,13.91304348
Georgia Triantafillou,Temple,Female,Professor,60,1978,0.064,0.782,0.326875,0.55625,0.587640449,43,1.395348837
Shiferaw Berhanu,Temple,Male,Professor,312,1985,0.309,0.593,0.326875,0.55625,0.587640449,36,8.666666667
Boris Datskovsky,Temple,Male,Professor,150,1984,0.138,0.622,0.326875,0.55625,0.587640449,37,4.054054054
Vasily Dolgushev,Temple,Male,Professor,340,1999,0.334,0.172,0.326875,0.55625,0.587640449,22,15.45454545
Yury Grabovsky,Temple,Male,Professor,209,1993,0.202,0.363,0.326875,0.55625,0.587640449,28,7.464285714
Cristian Gutierrez,Temple,Male,Professor,1159,1980,0.721,0.739,0.326875,0.55625,0.587640449,41,28.26829268
Isaac Klapper,Temple,Male,Professor,341,1991,0.335,0.414,0.326875,0.55625,0.587640449,30,11.36666667
Edward Letzler,Temple,Male,Professor,332,1988,0.325,0.5,0.326875,0.55625,0.587640449,33,10.06060606
Martin Lorenz,Temple,Male,Professor,424,1977,0.399,0.805,0.326875,0.55625,0.587640449,44,9.636363636
Gerardo Mendoza,Temple,Male,Professor,294,1980,0.293,0.739,0.326875,0.55625,0.587640449,41,7.170731707
John A Paulos,Temple,Male,Professor,3,1974,0.007,0.869,0.326875,0.55625,0.587640449,47,0.063829787
Brian Rider,Temple,Male,Professor,364,2000,0.353,0.147,0.326875,0.55625,0.587640449,21,17.33333333
Igor Rivin,Temple,Male,Professor,673,1986,0.557,0.564,0.326875,0.55625,0.587640449,35,19.22857143
Daniel Szyld,Temple,Male,Professor,1443,1979,0.784,0.76,0.326875,0.55625,0.587640449,42,34.35714286
Wei-Shih Yang,Temple,Male,Professor,101,1984,0.095,0.622,0.326875,0.55625,0.587640449,37,2.72972973
Anna Liu,UMass Amherst,Female,Professor,18,2003,0.024,0.082,0.342904762,0.326666667,1.049708455,18,1
Andrea Nahmod,UMass Amherst,Female,Professor,494,1991,0.438,0.414,0.342904762,0.326666667,1.049708455,30,16.46666667
Jenia Tevelev,UMass Amherst,Female,Professor,385,1995,0.369,0.304,0.342904762,0.326666667,1.049708455,26,14.80769231
George Avrunin,UMass Amherst,Male,Professor,59,1977,0.062,0.805,0.342904762,0.326666667,1.049708455,44,1.340909091
Tom Braden,UMass Amherst,Male,Professor,330,1995,0.321,0.304,0.342904762,0.326666667,1.049708455,26,12.69230769
Weimin Chen,UMass Amherst,Male,Professor,512,1997,0.456,0.24,0.342904762,0.326666667,1.049708455,24,21.33333333
Paul Gunnells,UMass Amherst,Male,Professor,302,1994,0.299,0.334,0.342904762,0.326666667,1.049708455,27,11.18518519
Paul Hacking,UMass Amherst,Male,Professor,280,2004,0.278,0.061,0.342904762,0.326666667,1.049708455,17,16.47058824
Markos Katsoulakis,UMass Amherst,Male,Professor,597,1993,0.505,0.363,0.342904762,0.326666667,1.049708455,28,21.32142857
Panos Kevrekidis,UMass Amherst,Male,Professor,1313,2000,0.76,0.147,0.342904762,0.326666667,1.049708455,21,62.52380952
Rob Kusner,UMass Amherst,Male,Professor,617,1987,0.52,0.53,0.342904762,0.326666667,1.049708455,34,18.14705882
Eyal Markman,UMass Amherst,Male,Professor,496,1992,0.441,0.387,0.342904762,0.326666667,1.049708455,29,17.10344828
Ivan Mirkovic,UMass Amherst,Male,Professor,696,1986,0.568,0.564,0.342904762,0.326666667,1.049708455,35,19.88571429
Franz Pedit,UMass Amherst,Male,Professor,770,1987,0.6,0.53,0.342904762,0.326666667,1.049708455,34,22.64705882
Luc Rey-Bellet,UMass Amherst,Male,Professor,670,1996,0.556,0.278,0.342904762,0.326666667,1.049708455,25,26.8
Eric Sommers,UMass Amherst,Male,Professor,206,1997,0.2,0.24,0.342904762,0.326666667,1.049708455,24,8.583333333
John Staudenmayer,UMass Amherst,Male,Professor,53,2000,0.056,0.147,0.342904762,0.326666667,1.049708455,21,2.523809524
Mike Sullivan,UMass Amherst,Male,Professor,296,1999,0.295,0.172,0.342904762,0.326666667,1.049708455,22,13.45454545
Siman Wong,UMass Amherst,Male,Professor,106,1995,0.103,0.304,0.342904762,0.326666667,1.049708455,26,4.076923077
Robin Young,UMass Amherst,Male,Professor,183,1991,0.172,0.414,0.342904762,0.326666667,1.049708455,30,6.1
HongKun Zhang,UMass Amherst,Male,Professor,188,1997,0.178,0.24,0.342904762,0.326666667,1.049708455,24,7.833333333
Marianna Csornyei,University of Chicago,Female,Professor,279,1996,0.277,0.278,0.70359375,0.5714375,1.231269824,25,11.16
Amie Wilkinson,University of Chicago,Female,Professor,783,1990,0.608,0.436,0.70359375,0.5714375,1.231269824,31,25.25806452
Kevin Corlette,University of Chicago,Male,Professor,542,1986,0.476,0.564,0.70359375,0.5714375,1.231269824,35,15.48571429
Laszlo Babai,University of Chicago,Male,Professor,2223,1969,0.874,0.939,0.70359375,0.5714375,1.231269824,52,42.75
Guillaume Bal,University of Chicago,Male,Professor,1813,1997,0.839,0.24,0.70359375,0.5714375,1.231269824,24,75.54166667
